Event,Course,Gender,Time,Meet,Age Group
100 Free,LCM,Female,1:11.49,RAFC Last Splash,14-Under
100 Free,LCM,Male,1:06.99,RAFC Last Splash,14-Under
100 Free,SCY,Male,58.79,RAFC Last Splash,14-Under
100 Free,LCM,Male,1:04.19,RAFC Last Splash,15-Over
100 Free,SCY,Male,55.99,RAFC Last Splash,15-Over
200 Free,SCY,Female,2:14.09,RAFC Last Splash,15-Over
200 Free,LCM,Female,2:32.19,RAFC Last Splash,15-Over
200 Free,SCY,Female,2:16.39,RAFC Last Splash,14-Under
200 Free,LCM,Female,2:35.39,RAFC Last Splash,14-Under
200 Free,LCM,Male,2:26.59,RAFC Last Splash,14-Under
200 Free,SCY,Male,2:08.59,RAFC Last Splash,14-Under
200 Free,LCM,Male,2:20.89,RAFC Last Splash,15-Over
200 Free,SCY,Male,2:02.99,RAFC Last Splash,15-Over
400 Free,SCY,Female,5:55.89,RAFC Last Splash,15-Over
400 Free,LCM,Female,5:19.79,RAFC Last Splash,15-Over
400 Free,SCY,Female,6:02.59,RAFC Last Splash,14-Under
400 Free,LCM,Female,5:20.89,RAFC Last Splash,14-Under
400 Free,LCM,Male,5:11.69,RAFC Last Splash,14-Under
400 Free,SCY,Male,5:43.89,RAFC Last Splash,14-Under
400 Free,LCM,Male,4:58.59,RAFC Last Splash,15-Over
400 Free,SCY,Male,5:30.19,RAFC Last Splash,15-Over
800 Free,SCY,Female,12:20.79,RAFC Last Splash,15-Over
800 Free,LCM,Female,11:05.39,RAFC Last Splash,15-Over
800 Free,SCY,Female,12:31.69,RAFC Last Splash,14-Under
800 Free,LCM,Female,11:17.99,RAFC Last Splash,14-Under
800 Free,LCM,Male,10:52.19,RAFC Last Splash,14-Under
800 Free,SCY,Male,11:56.69,RAFC Last Splash,14-Under
800 Free,LCM,Male,10:30.09,RAFC Last Splash,15-Over
800 Free,SCY,Male,11:32.59,RAFC Last Splash,15-Over
1500 Free,SCY,Female,20:37.29,RAFC Last Splash,15-Over
1500 Free,LCM,Female,21:00.49,RAFC Last Splash,15-Over
1500 Free,SCY,Female,20:52.99,RAFC Last Splash,14-Under
1500 Free,LCM,Female,21:29.79,RAFC Last Splash,14-Under
1500 Free,LCM,Male,20:38.39,RAFC Last Splash,14-Under
1500 Free,SCY,Male,19:57.59,RAFC Last Splash,14-Under
1500 Free,LCM,Male,19:49.09,RAFC Last Splash,15-Over
1500 Free,SCY,Male,19:20.39,RAFC Last Splash,15-Over
100 Fly,SCY,Female,1:06.49,RAFC Last Splash,15-Over
100 Fly,LCM,Female,1:15.69,RAFC Last Splash,15-Over
100 Fly,SCY,Female,1:07.99,RAFC Last Splash,14-Under
100 Fly,LCM,Female,1:16.79,RAFC Last Splash,14-Under
100 Fly,LCM,Male,1:12.19,RAFC Last Splash,14-Under
100 Fly,SCY,Male,1:03.49,RAFC Last Splash,14-Under
100 Fly,LCM,Male,1:08.79,RAFC Last Splash,15-Over
100 Fly,SCY,Male,1:00.39,RAFC Last Splash,15-Over
200 Fly,SCY,Female,2:27.69,RAFC Last Splash,15-Over
200 Fly,LCM,Female,2:46.59,RAFC Last Splash,15-Over
200 Fly,SCY,Female,2:30.89,RAFC Last Splash,14-Under
200 Fly,LCM,Female,2:51.49,RAFC Last Splash,14-Under
200 Fly,LCM,Male,2:41.09,RAFC Last Splash,14-Under
200 Fly,SCY,Male,2:21.59,RAFC Last Splash,14-Under
200 Fly,LCM,Male,2:33.69,RAFC Last Splash,15-Over
200 Fly,SCY,Male,2:15.69,RAFC Last Splash,15-Over
100 Back,SCY,Female,1:06.49,RAFC Last Splash,15-Over
100 Back,LCM,Female,1:17.39,RAFC Last Splash,15-Over
100 Back,SCY,Female,1:08.19,RAFC Last Splash,14-Under
100 Back,LCM,Female,1:19.59,RAFC Last Splash,14-Under
100 Back,LCM,Male,1:14.39,RAFC Last Splash,14-Under
100 Back,SCY,Male,1:03.79,RAFC Last Splash,14-Under
100 Back,LCM,Male,1:11.19,RAFC Last Splash,15-Over
100 Back,SCY,Male,59.89,RAFC Last Splash,15-Over
200 Back,SCY,Female,2:25.69,RAFC Last Splash,15-Over
200 Back,LCM,Female,2:47.49,RAFC Last Splash,15-Over
200 Back,SCY,Female,2:28.99,RAFC Last Splash,14-Under
200 Back,LCM,Female,2:50.89,RAFC Last Splash,14-Under
200 Back,LCM,Male,2:42.09,RAFC Last Splash,14-Under
200 Back,SCY,Male,2:19.99,RAFC Last Splash,14-Under
200 Back,LCM,Male,2:34.89,RAFC Last Splash,15-Over
200 Back,SCY,Male,2:12.89,RAFC Last Splash,15-Over
100 Breast,SCY,Female,1:16.09,RAFC Last Splash,15-Over
100 Breast,LCM,Female,1:27.79,RAFC Last Splash,15-Over
100 Breast,SCY,Female,1:17.89,RAFC Last Splash,14-Under
100 Breast,LCM,Female,1:29.99,RAFC Last Splash,14-Under
100 Breast,LCM,Male,1:23.79,RAFC Last Splash,14-Under
100 Breast,SCY,Male,1:12.19,RAFC Last Splash,14-Under
100 Breast,LCM,Male,1:19.49,RAFC Last Splash,15-Over
100 Breast,SCY,Male,1:08.79,RAFC Last Splash,15-Over
200 Breast,SCY,Female,2:45.49,RAFC Last Splash,15-Over
200 Breast,LCM,Female,3:11.09,RAFC Last Splash,15-Over
200 Breast,SCY,Female,2:49.69,RAFC Last Splash,14-Under
200 Breast,LCM,Female,3:14.29,RAFC Last Splash,14-Under
200 Breast,LCM,Male,3:02.09,RAFC Last Splash,14-Under
200 Breast,SCY,Male,2:37.39,RAFC Last Splash,14-Under
200 Breast,LCM,Male,2:53.49,RAFC Last Splash,15-Over
200 Breast,SCY,Male,2:30.19,RAFC Last Splash,15-Over
200 IM,SCY,Female,2:28.99,RAFC Last Splash,15-Over
200 IM,LCM,Female,2:50.49,RAFC Last Splash,15-Over
200 IM,SCY,Female,2:31.49,RAFC Last Splash,14-Under
200 IM,LCM,Female,2:53.79,RAFC Last Splash,14-Under
200 IM,LCM,Male,2:44.29,RAFC Last Splash,14-Under
200 IM,SCY,Male,2:23.09,RAFC Last Splash,14-Under
200 IM,LCM,Male,2:37.39,RAFC Last Splash,15-Over
200 IM,SCY,Male,2:16.09,RAFC Last Splash,15-Over
400 IM,SCY,Female,5:17.49,RAFC Last Splash,15-Over
400 IM,LCM,Female,6:02.19,RAFC Last Splash,15-Over
400 IM,SCY,Female,5:24.19,RAFC Last Splash,14-Under
400 IM,LCM,Female,6:08.69,RAFC Last Splash,14-Under
400 IM,LCM,Male,5:49.09,RAFC Last Splash,14-Under
400 IM,SCY,Male,5:05.19,RAFC Last Splash,14-Under
400 IM,LCM,Male,5:33.09,RAFC Last Splash,15-Over
400 IM,SCY,Male,4:52.79,RAFC Last Splash,15-Over
