Event,Course,Gender,Time,Meet,Age Group
1000 Free,SCY,Female,11:20.19,Age Group Champs,13-14
800 Free,LCM,Male,9:43.29,Age Group Champs,13-14
1000 Free,SCY,Male,10:43.79,Age Group Champs,13-14
1500 Free,LCM,Female,19:27.49,Age Group Champs,13-14
1650 Free,SCY,Female,18:52.89,Age Group Champs,13-14
1500 Free,LCM,Male,18:34.19,Age Group Champs,13-14
1650 Free,SCY,Male,17:55.89,Age Group Champs,13-14
100 Back,LCM,Female,1:11.99,Age Group Champs,13-14
100 Back,SCY,Female,1:02.69,Age Group Champs,13-14
100 Back,LCM,Male,1:08.69,Age Group Champs,13-14
100 Back,SCY,Male,59.29,Age Group Champs,13-14
200 Back,LCM,Female,2:35.69,Age Group Champs,13-14
200 Back,SCY,Female,2:14.49,Age Group Champs,13-14
200 Back,LCM,Male,2:28.79,Age Group Champs,13-14
200 Back,SCY,Male,2:08.79,Age Group Champs,13-14
100 Breast,LCM,Female,1:24.49,Age Group Champs,13-14
100 Breast,SCY,Female,1:12.59,Age Group Champs,13-14
100 Breast,LCM,Male,1:19.49,Age Group Champs,13-14
100 Breast,SCY,Male,1:08.89,Age Group Champs,13-14
200 Breast,LCM,Female,3:02.09,Age Group Champs,13-14
200 Breast,SCY,Female,2:36.69,Age Group Champs,13-14
200 Breast,LCM,Male,2:52.59,Age Group Champs,13-14
200 Breast,SCY,Male,2:28.49,Age Group Champs,13-14
100 Fly,LCM,Female,1:11.59,Age Group Champs,13-14
100 Fly,SCY,Female,1:02.19,Age Group Champs,13-14
100 Fly,LCM,Male,1:07.09,Age Group Champs,13-14
100 Fly,SCY,Male,58.99,Age Group Champs,13-14
200 Fly,LCM,Female,2:40.79,Age Group Champs,13-14
200 Fly,SCY,Female,2:19.89,Age Group Champs,13-14
200 Fly,LCM,Male,2:35.99,Age Group Champs,13-14
200 Fly,SCY,Male,2:13.49,Age Group Champs,13-14
200 IM,LCM,Female,2:36.79,Age Group Champs,13-14
200 IM,SCY,Female,2:16.29,Age Group Champs,13-14
200 IM,LCM,Male,2:28.39,Age Group Champs,13-14
200 IM,SCY,Male,2:08.79,Age Group Champs,13-14
400 IM,LCM,Female,5:37.19,Age Group Champs,13-14
